variable,source,value_status,current_value,notes
LOOPCONTROL_ENABLED,.env,SET,true,"Enabled; DRY_RUN if false"
LOOPCONTROL_BASE_URL,.env,SET,https://api-betaleads.yego.pro/api,"RECOVERED; same URL in LOOPCONTROL_EXPORT.md"
LOOPCONTROL_INTEGRATION_KEY,.env,PLACEHOLDER,PEPITO,"NOT a real key; must obtain from Miguel/admin"
LOOPCONTROL_DEFAULT_SCHEDULE_DAYS,.env,SET,12345,"Mon-Fri string format (CRITICAL: not array)"
LOOPCONTROL_AUTO_EXPORT_ENABLED,.env,MISSING,N/A,"Default: false; auto job disabled"
LOOPCONTROL_EXPORT_HOUR,.env,MISSING,N/A,"Default: 8"
LOOPCONTROL_EXPORT_MINUTE,.env,MISSING,N/A,"Default: 0"
LOOPCONTROL_EXPORT_PROGRAMS,.env,MISSING,N/A,"Default: all 4 programs"
LOOPCONTROL_LIMIT_CHURN_PREVENTION,.env,MISSING,N/A,"Default: 200"
LOOPCONTROL_LIMIT_HIGH_VALUE_RECOVERY,.env,MISSING,N/A,"Default: 100"
LOOPCONTROL_LIMIT_ACTIVE_GROWTH,.env,MISSING,N/A,"Default: 200"
LOOPCONTROL_LIMIT_14_90,.env,MISSING,N/A,"Default: 100"
LOOPCONTROL_CAMPAIGN_PREFIX,.env,MISSING,N/A,"Default: YEGO_LIMA"
LOOPCONTROL_REQUIRE_FRESHNESS_GREEN,.env,MISSING,N/A,"Default: true"
LOOPCONTROL_PREVENT_DUPLICATE_EXPORT,.env,MISSING,N/A,"Default: true"
LOOPCONTROL_EXPORT_DRY_RUN,.env,MISSING,N/A,"Default: false"
LOOPCONTROL_ENABLED,.env.example,MISSING,N/A,".env.example has no LoopControl section"
LOOPCONTROL_BASE_URL,.env.example,MISSING,N/A,".env.example has no LoopControl section"
LOOPCONTROL_INTEGRATION_KEY,.env.example,MISSING,N/A,".env.example has no LoopControl section"
LOOPCONTROL_BASE_URL,LOOPCONTROL_EXPORT.md,DOCUMENTED,https://api-betaleads.yego.pro/api,"Same as .env; docs match config"
LOOPCONTROL_INTEGRATION_KEY,LOOPCONTROL_EXPORT.md,DOCUMENTED,<key>,"Placeholder in docs; real value not documented"
LOOPCONTROL_ENABLED,LOOPCONTROL_EXPORT.md,DOCUMENTED,true,"Docs say enabled for LIVE mode"
yego_lima_loopcontrol_result_sync,main.py,BROKEN_IMPORT,N/A,"Module imported (line 8, 138) but file does not exist on disk"
docker-compose,project,MISSING,N/A,"No Docker deployment config found"
CI/CD secrets,control-tower-ci.yml,MISSING,N/A,"No LOOPCONTROL_* vars in GitHub Actions"
deployment scripts,project,MISSING,N/A,"No deployment scripts with LoopControl vars"
campaign 113,DB (reported),EXPORTED,50 contacts?,"User reports campaign_id_external=113"
campaign 114,DB (reported),EXPORTED,contacts?,"User reports campaign_id_external=114"
campaign 115,DB+docs,EXPORTED,50 contacts,"Documented: HV_REAL_50, 50 inserted, 0 skipped"
campaign 116,DB (reported),EXPORTED,contacts?,"User reports campaign_id_external=116"
total contacts,DB (reported),EXPORTED,~130,"Sum of 4 campaigns per user report"
last successful export,LOOPCONTROL_EXPORT.md,DOCUMENTED,2026-06-04,"Campaign 115, 50 contacts"
